"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",69,16.8,"2023-09",3,4.16
"2",68.8,17.3,"2023-02",4,28.25
"3",68.9,17.5,"2023-09",4,8.43
"4",69.1,17.6,"2023-03",1,2.19
"5",69.1,16.8,"2023-08",1,0.14
"6",68.7,16.9,"2023-12",1,18.77
"7",68.9,17.2,"2023-08",1,0.4
"8",68.7,16.9,"2023-09",2,11.29
"9",69.1,17.3,"2023-06",2,79.97
"10",68.8,17.2,"2023-04",1,17.46
"11",68.7,17.3,"2023-06",1,1.9
"12",68.7,16.8,"2023-08",1,2.05
"13",68.8,17.1,"2023-02",4,55.46
"14",69,17.2,"2023-01",1,1.08
"15",69.1,17.4,"2023-07",4,20.24
"16",68.9,16.7,"2023-06",4,5.04
"17",68.9,16.5,"2023-02",1,1
"18",69,17.4,"2023-06",4,20.13
"19",68.7,17,"2023-04",1,0.87
"20",69,16.6,"2023-12",4,4.78
"21",68.8,16.7,"2023-11",4,7.83
"22",69,16.5,"2023-11",1,1.03
"23",69,17.3,"2023-06",4,74.94
"24",68.7,17.1,"2023-07",1,16.36
"25",69,16.9,"2023-09",1,0.49
"26",68.8,17.2,"2023-05",2,11.15
"27",69.1,17.3,"2023-07",2,10.64
"28",68.9,17.2,"2023-12",1,2.4
"29",68.9,16.6,"2023-01",10,60.07
"30",68.9,17.2,"2023-09",3,14.02
"31",68.7,17,"2023-05",3,10.74
"32",68.8,16.7,"2023-10",4,6.33
"33",69.1,17.4,"2023-06",4,52.81
"34",68.8,17.1,"2023-03",1,2.72
"35",69,17.4,"2023-07",3,7.54
"36",69,17.5,"2023-01",2,19.86
"37",69.1,16.8,"2023-09",1,0.53
"38",68.7,17.2,"2023-01",8,103.91
"39",69,16.8,"2023-08",3,2.06
"40",68.9,16.8,"2023-01",8,106.16
"41",69,16.8,"2023-12",1,1.15
"42",68.9,16.9,"2023-01",5,5.8
"43",68.8,17,"2023-01",3,4.18
"44",69,17.3,"2023-07",2,25.19
"45",68.7,17.1,"2023-06",5,40.67
"46",69.1,16.8,"2023-12",2,5.84
"47",68.9,16.7,"2023-07",2,17.43
"48",69,17,"2023-04",1,4.91
"49",69.1,17.4,"2023-05",2,2.3
"50",68.8,16.7,"2023-08",2,17.27
"51",69,17.5,"2023-02",1,12.76
"52",68.9,16.6,"2023-02",6,23.91
"53",68.7,16.9,"2023-10",1,3.43
"54",69.1,17.6,"2023-01",1,1.12
"55",68.9,16.8,"2023-02",2,1.04
"56",68.8,17,"2023-02",1,12.26
"57",68.9,17.6,"2023-09",1,18.36
"58",68.7,17.2,"2023-02",5,39.39
"59",69,17.4,"2023-04",1,12.33
"60",68.8,17.4,"2023-01",3,4.7
"61",68.7,17.1,"2023-04",1,39.59
"62",69,17.3,"2023-05",1,4.14
"63",69,16.5,"2023-12",1,1.69
"64",68.9,16.9,"2023-03",2,4.01
"65",69,17,"2023-07",2,3.75
"66",69,16.8,"2023-10",1,0.26
"67",68.7,17,"2023-06",3,33.23
"68",68.7,16.8,"2023-11",1,1.81
"69",69.1,16.8,"2023-11",2,6.32
"70",68.9,16.7,"2023-04",2,7.17
"71",69.1,17.3,"2023-04",1,3.99
"72",68.9,17.2,"2023-11",2,3.51
"73",69,17.1,"2023-05",1,2.83
