"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",50.1,-4.2,"2023-09",14,154.71
"2",50,-4.1,"2023-04",10,26.38
"3",50.2,-4.1,"2023-05",15,101.61
"4",50,-4.3,"2023-08",10,46.99
"5",50.3,-4.6,"2023-09",6,8.92
"6",50.3,-4.5,"2023-11",10,63.77
"7",50.1,-4.4,"2023-02",15,174.08
"8",50.2,-4.3,"2023-09",13,128.82
"9",50,-4.2,"2023-01",13,44.24
"10",50.3,-4.2,"2023-09",6,40.27
"11",50.4,-4.5,"2023-07",3,86.93
"12",50,-4.3,"2023-09",6,14.85
"13",50.3,-4.6,"2023-08",7,16.01
"14",50.3,-4.3,"2023-01",9,48.19
"15",50.1,-4.4,"2023-03",16,119.75
"16",50.3,-4.5,"2023-10",10,179.19
"17",50.2,-4.6,"2023-01",7,9.56
"18",50.2,-4.3,"2023-08",16,126.69
"19",50.2,-4.1,"2023-04",15,80.73
"20",50.1,-4.2,"2023-08",20,213.26
"21",50,-4.1,"2023-05",5,19.65
"22",50.1,-4.2,"2023-12",15,162.22
"23",50.2,-4,"2023-06",16,106.85
"24",50.3,-3.9,"2023-06",5,44.68
"25",50.2,-4.5,"2023-03",11,98.33
"26",50.3,-4.6,"2023-12",2,4.04
"27",50.2,-4.3,"2023-12",10,58.5
"28",50.1,-3.9,"2023-07",5,15.93
"29",50.2,-4.4,"2023-11",11,25.08
"30",50.2,-4.2,"2023-01",16,146.87
"31",50,-4.4,"2023-10",4,6.05
"32",50.1,-4.5,"2023-10",10,83.76
"33",50.3,-4.4,"2023-03",5,28.64
"34",50.4,-4.5,"2023-06",1,33.85
"35",50.3,-4.2,"2023-08",12,42.5
"36",50.3,-4.4,"2023-02",11,42.98
"37",50.1,-4.5,"2023-11",13,87.41
"38",50.1,-4.3,"2023-01",16,157.22
"39",50.1,-3.9,"2023-06",6,20.78
"40",50.3,-4.2,"2023-12",7,40.4
"41",50.2,-4.4,"2023-10",10,106.09
"42",50,-4.4,"2023-11",1,0.8
"43",50.4,-4.1,"2023-01",1,10.75
"44",50.2,-4,"2023-07",17,93.11
"45",50.3,-3.9,"2023-07",1,1.78
"46",50.2,-4.5,"2023-02",10,121.82
"47",50,-4.3,"2023-12",8,27.46
"48",50.2,-4.2,"2023-03",10,44.04
"49",50.4,-4.5,"2023-04",1,0.62
"50",50,-4.2,"2023-02",17,84.62
"51",50.2,-4.4,"2023-08",11,75.75
"52",50.1,-4.3,"2023-03",15,115.04
"53",50.3,-4.4,"2023-01",8,161.87
"54",50.1,-4.5,"2023-12",10,23.44
"55",50,-4.1,"2023-06",5,16.73
"56",50.2,-4.1,"2023-07",18,79.49
"57",50.2,-4.6,"2023-02",3,2.41
"58",50.3,-4.3,"2023-02",11,57.2
"59",50.2,-4,"2023-04",18,157.33
"60",50.1,-4.2,"2023-10",17,245.7
"61",50.3,-3.9,"2023-04",4,29.91
"62",50.2,-4.3,"2023-10",18,130.45
"63",50.3,-4.5,"2023-08",11,263.62
"64",50.4,-4.2,"2023-06",2,0.76
"65",50.3,-4.6,"2023-10",7,19.75
"66",50.2,-4.5,"2023-01",13,57.66
"67",50,-4.3,"2023-11",18,43.93
"68",50.1,-3.9,"2023-05",11,38.36
"69",50.3,-4.2,"2023-11",4,13.84
"70",50.1,-4.5,"2023-09",10,39.16
"71",50.4,-4.1,"2023-02",1,2.67
"72",50,-4.4,"2023-12",4,4
"73",50,-4.4,"2023-08",4,5.08
"74",50.2,-4.4,"2023-09",12,94.41
"75",50.1,-4.3,"2023-02",19,219.44
"76",50.4,-4.5,"2023-05",1,55.98
"77",50,-4.2,"2023-03",14,88.68
"78",50.2,-4.2,"2023-02",14,74.08
"79",50.3,-4.3,"2023-03",3,4.51
"80",50.2,-4.6,"2023-03",5,6.59
"81",50.3,-4.5,"2023-12",6,34.62
"82",50.1,-4.4,"2023-01",14,146.17
"83",50.2,-4.1,"2023-06",11,90.14
"84",50,-4.1,"2023-07",12,78.11
"85",50.3,-4.6,"2023-11",3,2.97
"86",50,-4.3,"2023-10",11,52.15
"87",50.2,-4.3,"2023-11",12,50.57
"88",50.4,-4.2,"2023-07",2,1.86
"89",50.3,-4.5,"2023-09",15,180.41
"90",50.3,-3.9,"2023-05",4,86.97
"91",50.2,-4,"2023-05",17,138.31
"92",50.1,-4.2,"2023-11",21,99.93
"93",50.4,-4.1,"2023-03",2,0.78
"94",50.1,-4.5,"2023-08",14,53.14
"95",50.2,-4.4,"2023-12",8,51.78
"96",50.3,-4.2,"2023-10",8,12.92
"97",50.1,-3.9,"2023-04",8,24.55
"98",50.3,-3.9,"2023-02",2,6.97
"99",50.2,-4,"2023-02",18,86.8
"100",50.2,-4.5,"2023-07",14,84.18
"101",50.1,-4.1,"2023-12",17,137.46
"102",50.4,-4.3,"2023-08",1,9.82
"103",50.1,-3.9,"2023-03",7,20.3
"104",50.4,-4.1,"2023-04",2,13.1
"105",50.1,-4.1,"2023-09",16,160.15
"106",50.4,-4.5,"2023-02",1,9.59
"107",50,-4.2,"2023-04",14,80.57
"108",50.2,-4.2,"2023-05",13,76.78
"109",50.1,-4,"2023-11",12,123.95
"110",50.3,-4.4,"2023-07",14,326.58
"111",50.1,-4.3,"2023-05",9,111.84
"112",50.3,-4,"2023-10",3,23.5
"113",50.2,-4.1,"2023-01",14,85.08
"114",50.2,-3.9,"2023-10",5,114.95
"115",50.4,-4.4,"2023-10",2,4.7
"116",50.3,-4.1,"2023-08",7,30.87
"117",50.3,-4.3,"2023-04",8,26.41
"118",50.2,-4.6,"2023-04",5,7.29
"119",50.1,-4.4,"2023-06",14,190.02
"120",50.4,-4.2,"2023-01",1,2.33
"121",50.2,-4.5,"2023-06",10,131.91
"122",50.2,-4,"2023-03",13,49.61
"123",50.3,-4.1,"2023-12",6,39.34
"124",50.3,-3.9,"2023-03",1,0.33
"125",50.4,-4.1,"2023-05",4,1.87
"126",50.1,-3.9,"2023-02",5,7.17
"127",50.1,-4.3,"2023-04",17,192.96
"128",50.3,-4.4,"2023-06",9,441.91
"129",50.2,-4.2,"2023-04",13,73.98
"130",50.1,-4,"2023-10",11,88.16
"131",50.1,-4.1,"2023-08",22,296.97
"132",50,-4.2,"2023-05",7,50.41
"133",50.2,-4.6,"2023-05",5,8.9
"134",50.1,-4.4,"2023-07",22,192.35
"135",50.3,-4.3,"2023-05",11,66.48
"136",50,-4.1,"2023-01",9,16.34
"137",50.2,-3.9,"2023-11",5,90.4
"138",50.3,-4.1,"2023-09",4,25.24
"139",50.3,-4,"2023-11",3,39.03
"140",50.4,-4.1,"2023-06",3,12.04
"141",50.1,-4,"2023-08",14,119.11
"142",50.1,-3.9,"2023-01",9,26.47
"143",50.1,-4.1,"2023-10",17,182.47
"144",50.4,-4.2,"2023-02",1,4.54
"145",50.2,-4.5,"2023-05",10,57.24
"146",50.4,-4.4,"2023-09",3,9.49
"147",50.3,-4.1,"2023-11",11,23.3
"148",50.2,-3.9,"2023-09",6,101.03
"149",50.3,-4,"2023-09",4,42.25
"150",50.1,-4.4,"2023-04",19,192.08
"151",50.2,-4.6,"2023-06",3,2.29
"152",50.3,-4.3,"2023-06",8,165.82
"153",50,-4.1,"2023-02",13,30.31
"154",50.2,-3.9,"2023-12",4,66.97
"155",50.2,-4.1,"2023-03",11,60.62
"156",50.3,-4,"2023-12",2,9.97
"157",50.1,-4.3,"2023-07",19,218
"158",50.3,-4.4,"2023-05",12,237.06
"159",50.2,-4.2,"2023-07",17,61.91
"160",50,-4.2,"2023-06",6,74.62
"161",50.1,-4.1,"2023-11",17,194.96
"162",50.1,-4,"2023-09",12,107
"163",50.4,-4.1,"2023-07",3,6.17
"164",50.3,-4,"2023-08",3,51.41
"165",50.3,-3.9,"2023-01",1,1.22
"166",50.3,-4.1,"2023-10",6,21
"167",50.4,-4.4,"2023-08",3,66.84
"168",50.2,-3.9,"2023-08",6,195.63
"169",50.2,-4,"2023-01",18,90.09
"170",50.2,-4.5,"2023-04",10,39.3
"171",50.2,-4.1,"2023-02",14,105.84
"172",50,-4.1,"2023-03",10,29.19
"173",50.3,-4.3,"2023-07",14,113.9
"174",50.1,-4.4,"2023-05",7,98.92
"175",50.2,-4.6,"2023-07",4,4.45
"176",50,-4.2,"2023-07",13,103.37
"177",50.4,-4.5,"2023-01",1,18.34
"178",50.1,-4,"2023-12",9,91.52
"179",50.2,-4.2,"2023-06",11,73.44
"180",50.3,-4.4,"2023-04",8,29.57
"181",50.1,-4.3,"2023-06",13,169.17
"182",50.3,-4,"2023-06",2,40.01
"183",50.2,-3.9,"2023-06",6,179.69
"184",50.4,-4.4,"2023-06",2,0.82
"185",50.3,-4.3,"2023-12",7,33
"186",50.2,-4.6,"2023-12",6,6.88
"187",50.3,-4.5,"2023-03",3,19.23
"188",50.1,-4.4,"2023-10",16,151.87
"189",50,-4.2,"2023-12",10,56.81
"190",50.1,-4,"2023-07",18,228.17
"191",50.4,-4.1,"2023-09",2,2.8
"192",50.1,-4.5,"2023-02",13,52.77
"193",50.3,-4.4,"2023-11",11,74.37
"194",50.1,-4.1,"2023-04",16,192.74
"195",50.3,-4.2,"2023-01",9,18.72
"196",50,-4.2,"2023-09",8,32.59
"197",50.2,-4.2,"2023-08",19,159.04
"198",50.4,-4.1,"2023-12",2,17.59
"199",50,-4.4,"2023-02",1,1.99
"200",50.2,-4.4,"2023-03",9,92.45
"201",50.1,-4.3,"2023-08",17,263.74
"202",50.3,-4.1,"2023-05",9,26.28
