"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",69,16.8,"2021-01",2,1.52
"2",68.9,16.9,"2021-12",2,4.03
"3",69.1,17.5,"2021-09",3,9.41
"4",68.7,17.2,"2021-08",2,28.03
"5",68.8,17.4,"2021-10",2,54.03
"6",68.9,16.8,"2021-08",1,2.52
"7",69,16.7,"2021-07",1,0.68
"8",68.8,16.6,"2021-04",2,22.39
"9",68.8,16.9,"2021-05",1,7.64
"10",68.8,16.7,"2021-02",10,132.28
"11",69,17.2,"2021-09",4,6.75
"12",69,17.5,"2021-08",5,19.11
"13",68.8,16.8,"2021-05",2,1.3
"14",68.9,17.7,"2021-04",1,0.81
"15",68.8,16.6,"2021-05",2,76.09
"16",69.1,16.7,"2021-07",1,3.77
"17",68.9,16.8,"2021-12",2,92.64
"18",68.9,17,"2021-05",1,0.6
"19",69,16.9,"2021-01",1,0.07
"20",69,17.5,"2021-12",2,70.19
"21",68.9,16.6,"2021-09",1,23.54
"22",69,17.5,"2021-09",3,13.4
"23",69.1,17.2,"2021-09",1,0.68
"24",68.9,16.8,"2021-09",2,23.48
"25",68.8,17.4,"2021-11",2,22.67
"26",69.1,17.5,"2021-08",3,6.96
"27",68.9,17.6,"2021-02",1,7.41
"28",69,17.2,"2021-08",2,17.75
"29",68.8,16.7,"2021-03",4,26.78
"30",68.9,16.6,"2021-12",1,4.46
"31",68.9,17.1,"2021-06",1,0.26
"32",68.8,16.8,"2021-04",1,0.18
"33",68.8,17.3,"2021-11",1,2.78
"34",68.9,16.9,"2021-09",2,5.55
"35",68.7,16.9,"2021-01",2,34
"36",68.8,17.1,"2021-11",1,0.8
"37",69,17.2,"2021-12",1,2.31
"38",68.9,16.9,"2021-08",2,2.24
"39",68.8,17.3,"2021-10",2,16.98
"40",68.7,17.2,"2021-12",4,9.84
"41",68.7,16.8,"2021-02",1,1.37
"42",68.8,17.1,"2021-08",2,12.25
"43",69.1,17.6,"2021-09",2,13.5
"44",68.9,16.9,"2021-10",3,12.46
"45",68.8,17.3,"2021-08",2,1.73
"46",68.9,16.8,"2021-11",3,28.12
"47",69,16.9,"2021-02",1,0.96
"48",68.8,17.4,"2021-09",1,3.86
"49",68.8,16.8,"2021-06",1,15.98
"50",68.7,17.2,"2021-11",7,61.24
"51",69,17.2,"2021-10",2,9.22
"52",69,17.5,"2021-11",5,87.35
"53",68.9,16.6,"2021-11",1,25.02
"54",68.8,16.6,"2021-06",2,46.11
"55",69,16.7,"2021-05",1,29.95
"56",68.9,17.5,"2021-02",1,1.96
"57",69.1,17.6,"2021-08",2,67.52
"58",68.8,17.1,"2021-09",3,28.36
"59",68.8,16.7,"2021-01",7,67.51
"60",68.8,16.9,"2021-06",2,16.09
"61",69,16.8,"2021-02",5,9.12
"62",68.9,16.9,"2021-11",2,2.36
