"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"1",50,-4.1,"2022-12",9,24.83
"2",50.2,-3.9,"2022-02",3,10.91
"3",50.4,-4.4,"2022-02",1,0.33
"4",50.3,-4,"2022-02",1,4.76
"5",50.3,-4.5,"2022-07",7,125.75
"6",50.1,-4.5,"2022-06",16,57.57
"7",50.1,-4.5,"2022-07",14,59.52
"8",50.4,-4.5,"2022-11",2,20.53
"9",50.2,-3.9,"2022-03",4,54.7
"10",50,-4.1,"2022-09",7,53.87
"11",50.2,-4,"2022-10",15,95.91
"12",50.3,-4.1,"2022-01",10,91.33
"13",50.1,-4.2,"2022-04",20,298.31
"14",50.1,-4,"2022-02",12,176.63
"15",50.3,-4,"2022-03",2,13.34
"16",50.2,-4.1,"2022-12",16,47.31
"17",50.2,-4.3,"2022-04",17,178.86
"18",50.3,-3.9,"2022-10",2,12.89
"19",50.2,-4.1,"2022-08",19,172.26
"20",50.1,-3.9,"2022-11",3,15.7
"21",50.3,-4.6,"2022-04",4,7.83
"22",50,-4.3,"2022-05",13,44.68
"23",50.3,-4.5,"2022-06",9,132.3
"24",50.4,-4.2,"2022-08",1,0.31
"25",50.2,-4.4,"2022-07",10,121.71
"26",50,-4.4,"2022-06",1,0.17
"27",50.4,-4.5,"2022-10",1,0.09
"28",50.3,-4.2,"2022-05",16,94.96
"29",50.1,-4,"2022-03",20,193.88
"30",50.1,-3.9,"2022-10",3,12.53
"31",50.1,-4.1,"2022-01",21,246.02
"32",50.3,-4.2,"2022-04",10,117.29
"33",50.2,-4.4,"2022-06",12,95.33
"34",50,-4.4,"2022-07",1,1.57
"35",50.2,-4,"2022-11",10,52.64
"36",50,-4.1,"2022-08",11,33.55
"37",50.1,-4.2,"2022-05",18,225.94
"38",50.3,-3.9,"2022-11",2,2.46
"39",50.2,-4.1,"2022-09",18,116.97
"40",50.2,-4.3,"2022-05",15,220.02
"41",50.3,-4.6,"2022-05",6,11.14
"42",50,-4.3,"2022-04",10,25.55
"43",50.1,-4,"2022-01",16,244.16
"44",50.1,-3.9,"2022-08",8,33.76
"45",50.4,-4.5,"2022-12",2,17.65
"46",50.1,-4.5,"2022-04",8,32.63
"47",50.2,-4,"2022-09",18,97.47
"48",50,-4.1,"2022-10",5,16.87
"49",50.2,-4.1,"2022-11",13,60.95
"50",50.3,-3.9,"2022-09",3,9.48
"51",50.3,-4.5,"2022-05",9,130.89
"52",50.1,-4.2,"2022-06",14,160.02
"53",50.3,-4.1,"2022-03",8,18.01
"54",50.2,-4,"2022-12",17,65.68
"55",50.3,-3.9,"2022-12",1,7.3
"56",50.2,-4.3,"2022-06",10,144.63
"57",50,-4.3,"2022-07",9,33.59
"58",50.3,-4.6,"2022-06",5,9.13
"59",50.1,-4.1,"2022-02",15,126.87
"60",50.3,-4.2,"2022-07",10,91.3
"61",50.4,-4.5,"2022-09",1,68.36
"62",50.2,-4.4,"2022-05",12,106.3
"63",50,-4.4,"2022-04",1,2.91
"64",50.1,-4.5,"2022-05",11,76.68
